Gene	SRR11319298	SRR11319299	SRR11319300	SRR11319307	SRR11319308	SRR11319309
GJA4	0	1	0	0	0	0
SMIM12	803	665	883	718	727	586
DLGAP3	7	5	5	6	3	2
LOC653160	10	14	22	31	9	13
ZMYM6NB	262	231	308	274	202	169
ZMYM6	508	402	518	442	394	396
ZMYM1	1438	1347	1603	1361	1365	1098
SFPQ	18374	15883	19504	16583	14987	12459
ZMYM4	4664	3780	4935	4410	4243	3298
KIAA0319L	1152	1095	1354	1218	1046	901
NCDN	889	722	943	961	833	691
TFAP2E	10	10	9	11	8	6
PSMB2	5188	4487	5852	5556	4976	3941
C1orf216	530	476	607	509	416	360
CLSPN	2477	2000	2579	2604	2494	1924
AGO4	638	574	694	503	444	332
AGO1	2047	1846	2358	2107	1981	1544
AGO3	663	552	711	643	644	495
TEKT2	4	4	0	4	4	4
ADPRHL2	490	455	574	474	476	359
COL8A2	22	23	33	67	57	12
TRAPPC3	1158	1013	1252	1084	910	739
MAP7D1	3782	3399	4594	4172	3483	2853
THRAP3	7986	6546	8780	7591	7095	5782
SH3D21	151	129	149	167	165	136
EVA1B	86	83	130	152	110	90
STK40	488	339	469	463	389	326
LSM10	297	221	346	308	266	186
OSCP1	11	11	1	9	7	2
MRPS15	1989	1764	2277	2029	1959	1498
CSF3R	0	0	0	1	0	0
GRIK3	0	0	0	2	0	0
MIR4255	0	0	0	0	0	0
LINC01137	32	27	12	30	22	14
ZC3H12A	333	278	349	367	330	251
MIR6732	0	2	0	0	2	0
MEAF6	1172	988	1195	1071	1013	854
MIR5581	2	3	1	0	4	0
SNIP1	525	531	615	581	544	477
DNALI1	3	0	0	2	1	0
GNL2	2243	1891	2569	2317	2140	1780
RSPO1	0	0	1	0	1	0
C1orf109	475	468	581	535	464	378
CDCA8	1592	1382	1887	1566	1310	1080
EPHA10	46	56	57	58	49	33
MANEAL	1197	1066	1340	1203	1026	864
YRDC	583	575	697	598	523	389
C1orf122	288	279	326	332	301	214
MTF1	1579	1297	1644	1538	1374	1085
INPP5B	812	715	879	738	659	491
SF3A3	3613	3174	4115	3626	3197	2923
FHL3	187	183	235	218	195	129
UTP11L	1507	1201	1623	1493	1330	1064
POU3F1	7	12	12	16	16	8
MIR3659	0	0	0	0	0	0
RP11-214L19.1	0	0	0	0	1	1
RRAGC	1654	1460	1838	1842	1703	1364
GJA9-MYCBP	0	3	2	3	0	0
MYCBP	0	0	0	0	0	0
GJA9	0	0	0	0	0	0
RHBDL2	251	217	235	241	198	150
AKIRIN1	4085	3277	4351	4665	4161	3517
NDUFS5	4145	3709	4494	4569	4079	3575
MACF1	6977	6228	7674	7781	7192	5918
KIAA0754	852	707	959	1051	937	795
BMP8A	46	40	51	62	57	32
PPIEL	24	22	24	30	25	20
PABPC4	10611	8885	11512	11614	10446	8619
SNORA55	12	11	10	18	11	7
HEYL	55	52	67	97	80	74
NT5C1A	1	2	0	0	1	3
HPCAL4	57	53	63	93	62	83
PPIE	1512	1322	1540	1773	1571	1328
BMP8B	227	191	262	211	173	128
OXCT2	11	11	9	17	7	16
LOC101929536	15	9	17	8	6	4
TRIT1	1272	1095	1444	1314	1189	997
MYCL	68	49	76	82	91	44
MFSD2A	129	91	146	163	140	134
CAP1	21251	18424	23798	23741	21333	17389
PPT1	9762	8580	10892	10052	8967	7633
RLF	2326	2082	2542	2511	2309	1880
TMCO2	0	0	1	0	1	3
ZMPSTE24	4098	3412	4225	5425	4725	3944
COL9A2	13	7	13	17	14	9
SMAP2	1327	1159	1385	1490	1335	1084
ZFP69B	160	123	193	166	142	119
ZFP69	230	192	289	232	219	199
EXO5	408	347	481	546	506	375
ZNF684	148	138	154	164	145	113
RIMS3	305	264	339	298	313	204
NFYC-AS1	65	50	51	51	57	55
NFYC	1534	1335	1509	1608	1417	1253
MIR30E	0	0	0	0	0	0
MIR30C1	0	0	0	0	0	0
KCNQ4	12	21	22	21	16	11
CITED4	433	442	476	491	374	283
CTPS1	4566	4142	5365	5383	4755	3880
SLFNL1-AS1	44	31	49	54	55	30
SLFNL1	28	13	28	42	34	22
SCMH1	796	723	944	781	726	649
LOC102723924	0	0	0	4	1	0
FOXO6	119	98	111	132	80	78
LOC101929901	1	5	4	3	2	3
EDN2	49	59	63	67	60	61
HIVEP3	167	178	224	260	216	171
GUCA2B	0	0	0	0	1	0
GUCA2A	1	0	0	0	1	0
FOXJ3	4838	4054	5350	5170	4758	3783
RIMKLA	58	38	50	52	44	36
ZMYND12	7	10	6	3	10	12
PPCS	1876	1619	2036	2219	2027	1661
CCDC30	23	10	25	12	13	12
PPIH	1146	1026	1241	1183	1131	942
YBX1	58591	48309	63713	65737	58838	50902
CLDN19	0	2	0	0	3	2
LEPRE1	763	643	849	964	870	675
C1orf50	216	167	172	267	189	185
LOC100129924	10	9	7	13	5	7
CCDC23	355	266	363	349	323	285
ERMAP	333	269	334	432	371	337
ZNF691	357	334	418	348	312	249
LOC339539	2	0	4	7	3	3
SLC2A1	4702	3963	4890	3533	3219	2573
SLC2A1-AS1	11	1	18	8	10	7
FAM183A	13	13	7	9	10	9
EBNA1BP2	3795	3132	4059	4071	3590	3004
MIR6733	0	0	3	0	0	0
WDR65	13	19	15	20	13	8
TMEM125	176	142	183	250	243	193
C1orf210	482	365	492	516	423	389
TIE1	0	1	0	2	0	0
MPL	31	24	29	35	34	21
CDC20	7524	6295	8536	7106	5999	4902
ELOVL1	2040	1922	2368	2252	1882	1570
MIR6734	0	0	0	0	0	0
MED8	1359	1261	1579	1492	1378	1109
SZT2	1727	1674	1965	1883	1850	1477
MIR6735	0	0	0	0	0	0
HYI	0	0	0	0	0	0
PTPRF	19772	17598	22185	20042	17749	13622
KDM4A	3516	2955	3671	3879	3510	3037
KDM4A-AS1	60	39	55	71	46	38
ST3GAL3	177	147	149	142	152	112
RP11-184I16.4	1	4	1	8	0	1
MIR6079	0	0	0	0	0	0
ARTN	443	403	514	375	268	227
LOC101929609	18	19	21	20	14	11
IPO13	1286	1073	1293	1482	1274	1096
DPH2	1128	962	1233	1277	1109	907
ATP6V0B	1717	1596	1960	2013	1713	1368
B4GALT2	1352	1319	1585	1369	1152	977
CCDC24	174	132	166	166	178	134
SLC6A9	423	357	448	353	309	247
KLF17	0	0	0	2	4	5
DMAP1	989	816	1004	1016	949	822
ERI3	1800	1673	2179	1812	1691	1300
ERI3-IT1	8	9	14	21	18	16
RNF220	1861	1699	2135	1879	1640	1401
MIR5584	0	0	0	1	0	0
LOC102723990	5	6	6	8	4	1
TMEM53	60	54	80	73	62	42
C1orf228	7	11	5	15	16	7
RNU5F-1	2	1	4	8	3	2
RNU5D-1	5	5	4	1	1	0
KIF2C	5436	4756	6040	5996	5245	4220
RPS8	32498	29388	36215	33330	29163	24265
SNORD55	15	6	5	5	8	4
SNORD46	8	7	11	8	5	2
SNORD38A	3	6	2	3	6	1
SNORD38B	13	15	13	14	13	10
BEST4	5	2	5	9	6	4
PLK3	99	68	113	152	121	119
TCTEX1D4	10	4	7	11	7	5
BTBD19	9	14	7	9	25	23
