IDs,Symbols,Mouse_FA_PE,Mouse_FA_E1_R1,Mouse_FA_E1_R2,Mouse_FA_E1_R3,Mouse_FA_E1_R4,Mouse_FA_E2_R1,Mouse_FA_E2_R2,Mouse_FA_E2_R3,Mouse_FA_E2_R4,Mouse_FA_E6_R1,Mouse_FA_E6_R2,Mouse_FA_E6_R3,Mouse_FA_E11_R1,Mouse_FA_E11_R2,Mouse_FA_E11_R3,Mouse_WT_PE,Mouse_WT_E1_R1,Mouse_WT_E1_R2,Mouse_WT_E1_R3,Mouse_WT_E1_R4,Mouse_WT_E2_R1,Mouse_WT_E2_R2,Mouse_WT_E2_R3,Mouse_WT_E2_R4,Mouse_WT_E6_R1,Mouse_WT_E6_R2,Mouse_WT_E6_R3,Mouse_WT_E6_R4,Mouse_WT_E11_R1,Mouse_WT_E11_R2,Mouse_WT_E11_R3,Mouse_WT_E11_R4
100151693,Gm10364,0,0.0481643,0.116611,0,0.0498721,0.0783349,0,0,0,0.155685,0.0485436,0.0561328,0.163648,0,0.131431,0.0481914,0,0,0.0398704,0,0,0.157395,0.0977415,0,0.0503411,0,0.0493889,0.0499079,0.126702,0.119735,0,0
100169864,Gm44504,66.242295,68.15978371,80.65818,97.95187584,76.856904,67.01503,77.73316,107.9144809,106.897205,73.286509,82.643372,89.37396,87.28638212,102.07324,112.4181673,61.548244,85.053828,90.092775,85.641321,102.56437,109.22353,111.69513,97.913482,131.499066,128.462498,105.44157,89.665009,97.868385,153.091358,139.0921312,120.846801,123.50739
100169874,Gm11110,10.65666,4.942,4.57019,5.45486,6.57078,5.021165,3.74797,2.5392,2.115824,3.437116,1.57433,1.196188,3.31444,0.635397,0.212373,5.76588,5.52453,3.06906,7.5015,5.54188,4.52132,3.51446,3.64954,4.554912,4.541908,5.11366,4.34229,3.724982,2.87833,3.103559,2.56963,4.37458
100169878,Gm10941,0.638658,1.18744,1.33733,2.55918,1.0892,1.96942,1.94664,1.26416,2.80624,0.388485,4.35666,2.05622,0.991762,2.02127,0.981812,1.99496,0.970334,1.60149,0.856308,1.80771,1.64181,0.962156,0.844501,0.804082,2.80387,2.07915,0.602899,2.23002,1.518,1.85502,4.34803,4.20644
100169889,Peg3os,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0316051,0,0,0,0,0,0,0,0.0589995,0,0,0
100170401,EU599041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0445777,0,0,0,0,0,0,0,0,0
100188919,Gm45915,0,0.13667,0.066333,0.0305888,0.0283922,0.178342,0.106672,0,0,0,0.0274313,0,0,0.113161,0.0248173,0.109999,0.123271,0.0794896,0.0454274,0,0.0996294,0,0,0.0514082,0.0860717,0.0291985,0.139813,0.0282301,0,0.306057,0.206499,0.0471603
100190765,Mir449b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100191037,Krtap10-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100216455,Gm14124,0.290146,0.165787,0.0596619,0.0829789,0.114955,0.0752091,0.0144129,0.126711,0.0600913,0.0399614,0.036904,0.129481,0.0233007,0.0764148,0.0506058,0.094998,0.066531,0.143961,0.0309719,0.131054,0.0670036,0.158139,0.152729,0.0878109,0.275499,0.196767,0.171696,0.0955046,0.0490983,0.291003,0.119506,0.143639
100216474,Ttll2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100216530,Snord118,0,0,0,0,0,2.65494,0,0,0,0,0,0,0,0,0,0,2.95326,0,0,0,3.08889,0,0,6.22944,0,0,0,3.99266,0,3.95787,0,8.61233
100216531,Snord1b,0,0,0,0,0,1.45478,0,0,0,0,1.97131,0,2.25164,1.96244,0,0,0,0,0,0,0,0,0,0,1.94226,5.94323,0,0,1.6539,0,0,0
100216532,Snord2,12.3577,12.582,13.3974,2.42895,6.637,6.67224,11.3121,9.1741,18.7282,4.48526,14.4007,30.9297,2.63196,6.81433,0,2.0177,3.55624,8.42778,5.61573,1.73974,7.81282,0,2.07606,2.00676,13.5658,9.13217,13.2787,12.0997,5.74497,9.56117,28.5096,26.9505
100216533,Snord55,8.96488,34.338,41.0876,42.7189,56.0983,64.5959,60.2268,33.9668,63.9588,45.4267,51.2043,100.371,50.9882,85.1855,66.8431,63.5867,24.1763,37.8693,55.9474,25.9656,11.8547,30.7493,8.94066,25.2072,80.2674,31.1818,22.5837,72.3135,58.8379,52.1311,41.3363,47.7287
100216534,Snord96a,0.442308,1.39341,1.86773,3.81613,3.54341,2.40466,2.12479,2.31636,3.21744,1.62121,3.94974,2.53359,2.16466,2.68966,1.47989,0.909451,0.56587,1.43758,2.46612,1.46502,1.59976,1.97241,0.781084,1.09029,6.0798,3.11535,1.37442,4.98763,2.544,2.609,3.12804,4.501
100216535,Scarna9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.95712
100216536,Snord1c,0,0,1.41681,0,0,0,0,3.08789,0,0,5.90819,0,0,1.93603,1.67108,0,0,0,6.39399,3.05478,3.38706,0,0,0,5.73339,0,7.52789,6.1983,0,0,3.75784,1.53964
100216537,Snord104,3.84445,58.023,53.3792,37.7672,42.2816,43.4358,47.9083,30.1679,42.5523,47.1918,74.9689,23.6952,53.08,37.4633,18.1356,24.2668,27.7811,13.6507,27.7485,29.0107,5.53142,22.243,17.3182,23.7215,59.6132,65.4096,4.09254,26.6104,10.5051,6.64083,38.2275,31.4505
100216538,Snord1a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100216539,Snord4a,10.0215,4.05664,11.2785,21.0493,19.2043,1.62273,9.40133,5.31678,14.8655,2.16056,36.9408,10.0171,2.5341,13.1662,9.61758,5.83177,8.56437,20.3761,10.8578,8.41645,21.0186,0,10.0607,7.72014,10.8813,8.7961,17.1263,7.00374,0,2.31216,6.39782,5.21765
100217413,Scarna10,11.8534,0,1.57968,2.30075,8.36917,4.80022,0,0,11.3853,2.12293,0,9.84359,4.99667,8.62016,1.88666,5.74318,11.7887,10.03,12.51,1.65849,5.67941,9.22474,7.93893,5.68211,0,2.16466,4.22029,9.18244,10.8983,2.2798,0,8.54481
100217414,Scarna3a,1.41288,2.84235,0,0,0,0,0,1.21839,5.19219,0,6.09245,3.5832,0,3.25785,0,0,1.23941,1.47467,1.37081,0,0,0,0,1.40606,1.58214,0,0,6.67284,13.6598,3.65458,3.57622,8.90421
100217415,Scarna6,0,6.5034,2.16277,1.51298,0,4.38285,0,2.25636,7.54689,0,2.35154,12.1626,5.15849,8.03911,1.17084,6.52455,0,0,10.7509,0,0,2.52362,9.80077,1.19681,1.42587,1.44543,0,5.193,4.47707,5.83207,2.80015,4.60456
100217416,Snora2b,0,7.11987,5.80055,0,17.477,3.435,10.0865,13.423,17.8912,15.784,18.7555,25.138,42.837,33.7781,18.055,6.23324,0,2.97946,1.36232,0,2.62025,0,2.94927,6.98927,20.3505,0,1.42552,18.2911,31.5324,23.3448,14.1489,47.0416
100217417,Snora34,10.8637,16.9154,14.8483,5.01919,21.5368,17.1751,29.2377,12.2885,18.4012,82.9188,53.4015,68.2058,48.9376,16.9447,17.6183,38.9009,13.8097,4.41627,2.64672,23.5094,8.7342,16.0862,5.24054,11.3646,16.9007,12.9161,1.42911,28.487,51.9276,19.9677,56.4878,78.3076
100217418,Snora44,0,2.83691,1.16807,12.7584,0,0,1.12699,1.21934,2.58731,1.60773,0,5.37673,0,0,1.39265,0,0,4.43362,2.74093,0,1.28971,3.2213,0,4.21744,4.7392,7.64392,1.41648,10.0026,4.55558,0,1.78978,0
100217419,Snora52,2.76403,2.80442,1.17646,7.95425,4.79741,3.47042,0,7.22153,2.61032,1.67295,11.2004,3.63185,0,8.29559,5.5671,11.5656,2.55862,0,12.1981,10.1788,1.2434,0,0,0,12.9148,1.56324,6.92996,21.4521,9.19183,1.85477,11.048,5.0575
100217420,Snora81,9.51256,25.3782,32.1915,26.8559,86.1127,63.966,62.3726,38.1321,51.241,47.6384,103.864,82.8562,47.0818,42.2622,35.1818,23.6494,13.8677,20.6167,18.5054,20.5307,16.279,14.5629,31.5079,9.93791,38.8913,19.4332,21.4618,63.078,66.4274,27.1592,65.4541,90.3092
100217421,Snord11,0,0,1.82453,0,0,0,0,4.05907,0,0,2.17551,0,2.90522,0,2.20152,0,1.94414,2.28404,0,0,2.12133,2.65021,0,0,10.0889,0,0,0,0,0,0,0
100217423,Snord19,2.71265,5.43983,15.1732,3.34085,11.8126,10.9178,6.45492,4.87309,6.80705,0,19.8976,6.53663,17.467,8.84131,13.197,2.80181,2.39452,8.03971,4.75995,4.29185,2.58226,6.32774,11.07,0,15.1759,14.9675,8.715,26.4968,14.7133,12.7874,0,30.392
100217424,Snord38a,0,0,0,0,0,0,0,0,2.03248,0,0,0,0,0,0,0,0,4.9119,0,0,0,0,0,0,0,0,0,0,0,0,2.5417,0
100217425,Snord45c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100217426,Snord49b,0,0,1.82453,10.8547,14.7161,0,5.3488,0,13.1647,7.38061,4.35102,2.81951,8.71565,7.41381,8.80606,0,1.94414,0,0,5.65996,12.728,2.65021,4.52066,0,17.6556,5.02321,7.21216,16.0324,8.3765,10.4611,4.71324,9.81867
100217427,Snord52,24.3743,22.0931,7.8587,65.9626,60.9716,7.79465,17.1653,15.3342,46.7471,10.5929,32.6098,21.033,28.2437,31.9763,16.6534,39.6639,4.24258,12.2798,21.5264,2.03381,13.872,2.8534,2.44962,11.6924,79.7389,61.8978,33.765,61.5199,31.4536,28.6814,15.2502,8.41835
100217428,Snord57,0,2.28964,0,0,0,0,0,0,0,7.38061,0,0,0,0,0,0,0,0,0,3.77331,0,2.65021,0,2.18523,2.52223,0,0,2.67206,6.28238,2.61527,0,1.96373
100217429,Snord64,0,3.30029,0,4.04646,10.7258,0,0,0,0,0,0,0,0,0,0,0,0,0,5.69378,0,0,0,0,0,0,0,0,0,0,0,0,0
100217430,Snord66,0,5.00132,0,0,2.70969,0,0,0,2.07372,0,0,3.04943,3.1959,0,0,0,0,0,0,0,0,0,0,0,5.58746,0,2.64814,2.98501,0,0,2.60086,0
100217431,Snord69,0,17.1836,5.89403,8.9949,2.65094,9.74332,3.81452,13.1436,10.1624,2.64823,25.622,12.0188,9.41457,21.3175,4.75813,4.95799,10.6064,0,19.3737,4.06761,0,5.7068,0,0,24.7465,16.1472,0,32.2247,6.74007,8.60442,10.1668,29.4642
100217432,Snord71,4.40173,22.5056,26.8752,31.8409,16.7597,16.1837,5.24986,7.9491,22.1309,16.9232,12.8251,36.1356,28.4413,4.85193,6.4529,2.19005,11.4547,15.737,9.93208,0,0,5.20639,15.581,17.2058,34.4878,4.91524,4.72701,23.5275,16.4145,30.7019,35.0059,44.3942
100217433,Snord88a,0.00329555,0.343196,0.0861543,0.687737,0.714723,0.435166,0.795292,0.308523,0.200331,0.158659,0.975457,0,0.849275,0.554765,7.12E-06,0.411004,0.293218,0.59092,0.55078,0.784689,0.337386,0.345146,0.421228,0.621925,0.77004,0,0.671351,0.762276,0.539592,0.192705,0.675704,1.66983
100217434,Snord88c,1.68635,0,3.94716,0,6.94036,4.0097,3.86195,1.40971,5.59088,0,11.2083,2.06537,0,0,1.56319,0,0,0,1.49671,0,1.55725,0,3.12803,3.13543,3.5114,3.60913,0,3.84165,6.26425,1.96585,0,8.6317
100217435,Snord90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.26096,0,0,0,0,0,0,0
100217436,Snord93,6.37174,0,15.7131,8.2544,7.30683,13.0539,2.65905,8.61522,22.3639,0,52.3205,3.9415,0,21.1746,3.15547,0,8.70919,0,5.76965,4.96003,9.14835,0,0,6.14275,62.8196,10.8429,24.1879,79.2235,56.3953,19.3457,30.8777,0
100217437,Snord99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100217438,Scarna2,0,14.2109,22.7497,22.8044,17.9132,1.89108,7.36153,16.9929,21.5036,2.54315,13.4994,5.80836,3.02274,5.14163,4.58293,4.73447,4.05267,0,52.0064,0,19.9704,24.7647,0,6.77322,7.94015,0,4.9795,25.1757,21.7556,27.3785,14.5668,18.2947
100217440,Snora61,0,4.65741,7.44009,8.34273,2.50999,0,3.62403,10.3827,7.66954,0,0,5.7166,5.93306,0,2.24846,13.8394,3.96563,0,10.2114,5.76794,4.33553,0,0,2.22043,15.5122,10.2622,7.33093,16.3983,4.27148,10.7049,0,0
100217441,Snord23,0,1.49095,0,0,4.75803,0,1.16458,2.54796,0,0,2.00786,1.83126,0,0,0,0,0,0,0,0,2.78445,0,0,0,4.7917,0,0,0,4.45371,5.32915,6.76156,2.59347
100217442,Snora30,11.6185,11.5329,6.98577,13.1005,6.34597,5.78843,15.8172,7.45161,23.0962,7.9031,4.11329,7.24522,25.854,38.6296,40.4389,21.3952,11.1949,33.3737,19.1011,9.81467,13.3858,26.377,7.33603,8.38354,36.1601,21.8231,23.2246,15.0539,6.0021,44.3097,17.4263,19.1963
