Symbols,Mouse_WT_PE,Mouse_WT_E1_R1,Mouse_WT_E1_R2,Mouse_WT_E1_R3,Mouse_WT_E1_R4,Mouse_WT_E2_R1,Mouse_WT_E2_R2,Mouse_WT_E2_R3,Mouse_WT_E2_R4,Mouse_WT_E6_R1,Mouse_WT_E6_R2,Mouse_WT_E6_R3,Mouse_WT_E6_R4,Mouse_WT_E11_R1,Mouse_WT_E11_R2,Mouse_WT_E11_R3,Mouse_WT_E11_R4,Mouse_FA_PE,Mouse_FA_E1_R1,Mouse_FA_E1_R2,Mouse_FA_E1_R3,Mouse_FA_E1_R4,Mouse_FA_E2_R1,Mouse_FA_E2_R2,Mouse_FA_E2_R3,Mouse_FA_E2_R4,Mouse_FA_E6_R1,Mouse_FA_E6_R2,Mouse_FA_E6_R3,Mouse_FA_E11_R1,Mouse_FA_E11_R2,Mouse_FA_E11_R3
Lgals9,16.58753,15.23439,22.2619,18.42195,9.303671,22.037102,8.045082,13.357992,7.692815,7.12531,16.306484,16.092336,8.415482,7.485791,6.425181,3.52871,5.876801,24.00372,20.024521,16.362984,13.255651,18.090029,15.08257,12.955322,7.15226,4.18411,29.48814,3.09188,6.39329,35.943924,22.932211,28.7939
Anxa1,1214.95,1491.25,2734.82,2541.91,2174.87,2458.67,1507.67,4016.56,2965.23,1339.03,1275.21,1662.03,2984.21,530.385,445.278,480.726,851.003,2635.05,1431.49,1401.12,1687.1,1146.99,753.506,621.516,775.088,938.754,701.919,741.278,463.537,915.96,598.821,747.288
Mrc1,0.263215,4.46365,1.93503,1.77024,6.13508,3.78205,5.83386,10.357,53.3729,9.24276,6.65529,3.9987,5.79817,0.460999,1.07836,1.25864,0.380749,0.729876,3.62621,1.94843,1.40299,1.47087,1.22837,1.07626,4.18334,4.17954,0.947072,1.92319,0.58753,1.25044,0.728586,0.617476
Nr4a3,0.2486839,0.6845883,0.1924655,0.19349,0.2444015,0.0952528,0.1084258,0.1008509,0.0935651,0.5272511,0.371856,0.102006,0.2924315,0.4794855,1.190942,0.4917779,0.3870785,0,0.944795,2.055653,1.255074,0.2574033,3.171024,1.339396,0.841572,0.401553,2.665079,0.2033225,1.55691,1.386943,0.3120869,2.45562
Nr4a2,1.861016,1.565159,2.2612453,2.759005,2.058358,3.596964,3.411956,2.570124,3.134774,6.967105,4.283024,3.140825,3.850564,2.3199945,2.771179,1.441067,1.03926,2.8719605,5.50200142,4.720837,3.069098,2.93755,7.073978,1.633884,3.576627,2.582423,4.979797834,4.37962,4.170651,4.851072,7.55012,2.963674
Pdcd1,0,0.0275359,0.059195,0.0507274,0,0.0557002,0.0329739,0.0624312,0,0,0.0326244,0,0,0,0,0,0,0,0.946762,0,0.102509,0.0634162,0.0497944,0,0.40694,0,0,0.03067,0,0,0,0
Prf1,0,0,0,0,0,0,0,0.0581274,0.0534338,0.03025,0.0303484,0,0.0586935,0,0,0,0.0736623,0,0.0568206,0,0.0635818,0,0,0,0.0236619,0.0231904,0,0,0.0332225,0,0,0
Ptdss1,19.3791,20.112838,22.1048683,19.415,17.667192,22.571552,27.391389,24.3346,33.953283,23.7022686,21.850272,23.0524109,30.978169,21.4807161,28.5558237,21.0476,16.312506,27.590354,23.9067,14.3984,23.0912,18.7630815,15.3032,14.8226724,21.3663,14.658921,28.03372,13.299473,23.5212,28.2237516,25.4495,32.6697383
Ptpn11,67.15117,48.998558,79.1838032,62.090184,61.981988,74.5321,86.3257485,78.494768,76.027282,76.614148,74.942458,86.6528964,82.734194,46.179489,69.9579,54.410589,25.500158,82.269653,66.420874,34.456931,79.062054,57.4343019,35.936972,26.451993,50.615665,40.521907,94.533908,27.3220451,51.908202,74.1837675,78.1058638,88.5336122
Foxp3,0,0.0139111,0.0601292,0,0.0684689,0.014177,0,0.0610272,0.13805,0.2064505,0.168394,0,0.111414,0.177487,0.0835291,0.219257,0.219616,0.0150901,0.0763931,0.0622482,0,0.195459,0.025449,0.0606425,0.124675,0.0253793,0.0166959,0.0751245,0.0699151,0.0776151,0.0762015,0.0278309
Slc2a1,802.177,1030.88,521.826,504.111,384.273,535.665,636.621,768.259,704.903,216.802,384.646,544.116,343.769,346.322,440.687,551.807,506.007,677.022,613.459,327.672,208.827,231.05,440.571,370.973,298.289,121.223,448.092,390.345,465.297,366.356,556.605,417.156
Tcf7,15.6221091,9.2142586,12.27347,8.4172268,6.9224589,16.32763,6.8500382,10.797319,4.744332,7.324274,12.7074049,19.048489,6.487732,6.8093352,20.8448699,8.753661,5.2812922,12.26657,10.219937,5.9777293,7.5528518,7.370086,5.6753966,4.7999081,11.4569172,5.1864003,4.324351,7.49093,6.592491,7.278382,10.9458508,7.297159
Tgfb1,153.343,198.982,113.898,111.549,115.092,137.214,143.224,147.242,116.287,53.642,95.0737,90.3615,66.2541,45.1357,63.5621,114.13,90.7827,71.1024,115.469,53.84,58.4062,57.8349,81.8813,65.7438,56.8517,27.7132,71.596,57.3842,77.3202,54.5958,53.5277,48.2982
Tnf,21.245038,21.946964,14.50294,15.3689,9.50841,18.3254,33.575461,22.0297,16.9421,8.03281,9.954687,11.858363,15.8991,0.30073,0.0425219,0.316124,0.163818,16.2867,4.954021,4.210681,2.87476,1.67437,0.687282,0.4864724,0.885743,2.0889,0.205254,0.110666,0,0.04593087,0,0
Cd40,0.188431,0.304515,0.185329,0.572411,0.065092995,0.139846,0,0.0779839,0.305004019,0.118027,0.0408829,0.110298,0,0,0.085622,0.121346,0,0.265574002,0.0375591,0.061841901,0,0.119065,0,0.148906001,0.0298925,0.0311234,0.041328401,0.144384,0,0,0,0.0326236
Tnfrsf9,3.507631,5.3066,1.393591626,2.090322,3.98738,2.245019,0.822053,1.977051,5.98296,7.428,6.38392,2.451111,2.362292,42.3469,35.2401,71.9338,31.0017,6.10892,95.2944,176.3372,70.8217,102.3118,353.451,202.416,136.9821,218.7463,590.572,70.306,317.331,281.655,109.5902,440.706
Ikzf2,6.839397,5.705976,6.703575,4.5153618,2.9824539,2.747718,1.51918,5.483288,0.6972577,0.5451284,0.690176,1.850582,3.190764,0.0831806,0.2889781,0.10179,0.110274,5.89026,2.240748,1.307469,0.637567,0.276243,0.338822,0.2231862,0.151947,0.12183,0.387476,0.143859,0.447428,0.174357,0.0746747,0.2585686
Nt5e,75.653466,74.348529,84.100451,84.727668,44.79587,49.6564647,85.690045,48.607211,61.627312,16.866318,43.949053,38.326784,38.779024,7.610302,3.525597,11.189132,5.703448,47.255158,74.77169,103.481313,69.971507,83.58386,84.207213,109.89133,28.302792,77.992134,12.586459,18.356021,25.13936,6.96525,7.964456,8.80388
Ceacam1,1.173461,1.7659119,6.283911,5.324742,1.939259008,7.41972,7.757586,4.215207701,0.802347125,2.0676447,2.332178,3.021747,3.368752,14.60796,21.995674,35.0534,15.57432416,0.194022,4.9078094,1.150336,2.5896935,0.535183602,0.1922097,0.231167,8.183629,0.336881,14.6563856,31.316826,1.055472088,3.366493,7.810742,1.17564
Ptdss2,33.328755,61.146105,40.371709,44.116354,48.706687,38.653449,45.200783,40.923551,44.2715,28.014017,42.9088,45.254538,30.66339,35.22698,35.82016,55.30959,58.79148,31.34533,41.363984,28.787262,25.176977,25.230304,32.600218,36.238929,26.49848,17.356677,23.522748,21.619704,26.690432,25.665423,28.2959,28.553403
Icos,0,0,0,0,0,0,0,0,0,0.0178338,0,0,0,0.0149804,0.0380031,0.0550155,0.0292773,0,0,0,0.0189882,0,0,0,0.0989009,0,0.183969,0.0339573,0,0.213283,0.228664,0.0461384
Cadm1,146.419392,171.8653852,127.162558,119.7845594,137.3677549,134.1376986,115.467099,168.6550426,163.2478632,77.8117566,120.448001,135.89621,121.1715399,60.98466283,80.096847,79.995915,39.3059289,195.9976502,86.401592,74.800594,92.893042,114.1177556,62.2861056,97.5008232,74.9118249,60.02607707,48.5300784,55.694436,64.6714741,41.2737632,140.9557052,75.7430417
Clec7a,0.136036,0.048782,0,0.157302,0.0720559,0,0.147068,0,0.0254287,0.17031,0.0288858,0.0276622,0.116487,0.0959416,0.151393,0.207396,0.117169,0,0,0.0218749,0.0304767,0,0.0220549,0.0422154,0.0225231,0.132157,0.0292749,0.0542717,0.0632577,0,0.0839673,0
Tbx21,0.0223575,0,0,0,0.0197146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0538873,0,0,0,0,0,0.0180895,0,0,0,0,0,0
Cd274,4.50413,2.00836,4.83263,3.41287,1.35621,1.56681,0.938987,1.94315,1.05563,1.48026,1.27072,1.00367,0.857983,0.671019,0.868301,0.360933,0.9179,0.891355,2.18666,1.71354,0.83191,0.727824,0.779234,0.684718,0.701909,0.487642,1.35936,0.793355,0.417311,0.935236,0.394551,0.334577
Nkg7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cd163,0,0,0,0,0,0,0,0.0255979,0,0.116579,0,0,0,0.0549044,0,0,0.0435234,0,0.122392,0.238316001,0.315581,0.165959,0.250061,0.0576453,0.0922459,0.18972,0,0,0.028705,0,0,0
Havcr1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Havcr2,9.09624,39.0951,9.26556,14.5026,13.093,6.96462,4.23379,13.621,14.7827,3.33975,7.67746,9.53226,3.40301,0.764993,0.810532,0.474991,3.39487,3.15244,9.19733,3.26999,3.73225,3.18204,2.87706,1.61343,3.9104,1.21847,0.023792,7.98876,3.053894,0.080662,0.705793,0.0567783
Btla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fancd2,6.56275,3.352842,11.653673,9.995228,4.6347871,9.445549,8.573524,7.245206,3.6746025,6.2625965,6.630668,7.027352,9.431094,6.034125,10.769592,9.25404,9.40307,5.342679,8.091843,6.427137,8.669625,6.549085,5.272525,4.90191,6.245064,5.650036,2.8772188,2.701679,6.619956,7.725512,8.245736,9.355956
Bag6,220.5625,216.446,283.18036,220.9869,226.0161,290.0884,321.1111,267.71531,204.44893,218.16433,252.35145,243.29526,191.1876,186.65474,330.1200762,248.12912,215.7987,358.27281,332.0903,221.0754,271.7919208,233.0615,249.3123,222.9378,240.99969,163.4268,340.6374,117.3836401,316.2499,371.7088001,328.8964477,407.8598
Atr,4.447997,2.55246933,7.499019,5.4180782,2.4889222,6.242783,7.5317857,6.8048546,5.6347351,6.170889,5.309008,7.9602681,8.4652904,7.14634,9.940942,4.982314,4.834685,9.089201,5.484758462,3.247364,7.2722842,6.637854,3.5521895,3.4205024,6.619826,4.7207092,7.3136528,3.721575,5.168787503,6.383937,8.408042,8.0300892
Tox,0.0411526,0.0928739,0,0.0354452,0,0,0,0.0435729,0,0.3109829,0.0680108,0.021726,0.0792393,0.0187319,0.1389628,0.0918129,0.2539572,0.020953,0.0744629,0.0687169,0.2727739,0.0886555,0.0541742,0.0333681,0.0255035,0.0692894,0.0212628,0.0212715,0.2002911,0.15995,0.110047,0.0577749
Xkr8,0.823164,0.896678,0.473643,0.476671,0.675316,0.706506,0.702656,1.02441,0.523823,1.00369,1.08182,0.867232,0.49311,1.78489,3.56099,2.38043,1.799,2.01957,2.1704,1.95214,2.3319,2.65558,2.02045,1.6518,2.30966,1.35405,3.63844,2.57236,4.25397,3.23251,4.00022,4.81948
Tigit,34.3862,53.817,52.0403,68.7002,56.3795,71.1338,66.9108,64.1212,42.2182,46.289,87.2966,99.5386,89.695,69.4581,29.0778,37.4695,51.6711,21.3989,29.8078,16.0621,22.3529,8.99367,16.8462,14.1166,14.0478,15.5826,12.6854,10.1064,13.7794,30.3455,29.5149,40.5901
